;;;;;;;;;;;;
Arrecada� do IPVA por Regi�e Munic�o -  2017;;;;;;;;;;;;
Regi�/ Munic�o;Janeiro;Fevereiro;Mar�Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
SAO GONCALO; 31.098.151,82 ; 20.059.520,37 ; 16.587.603,47 ; 9.740.376,39 ; 4.441.255,21 ; 3.663.243,71 ; 3.195.324,75 ; 3.097.340,50 ; 2.462.352,04 ; 1.874.135,32 ; 1.388.871,25 ; 1.679.990,12 
SAO JOAO DE MERITI; 12.574.257,56 ; 8.210.636,05 ; 7.034.489,38 ; 4.218.261,36 ; 1.947.038,49 ; 1.696.659,62 ; 1.639.140,40 ; 1.524.743,76 ; 990.179,06 ; 796.575,30 ; 568.157,17 ; 758.332,34 
SEROPEDICA; 3.312.447,26 ; 1.768.498,13 ; 1.385.172,91 ; 842.492,36 ; 390.356,49 ; 343.378,77 ; 382.964,84 ; 242.759,78 ; 196.581,37 ; 154.257,98 ; 98.417,84 ; 132.178,82 
TANGUA; 823.201,12 ; 486.659,11 ; 398.134,89 ; 238.215,96 ; 114.056,76 ; 99.145,86 ; 82.649,64 ; 70.170,20 ; 73.392,31 ; 45.454,72 ; 35.052,62 ; 61.044,18 
NOROESTE; 15.176.111,91 ; 8.613.634,49 ; 6.524.063,54 ; 3.579.806,65 ; 1.681.380,20 ; 1.326.966,49 ; 1.184.640,62 ; 1.232.037,34 ; 869.282,13 ; 720.596,71 ; 477.601,93 ; 641.179,62 
APERIBE; 628.740,51 ; 328.526,77 ; 221.772,87 ; 111.390,67 ; 47.114,47 ; 45.856,01 ; 36.163,09 ; 39.606,20 ; 25.997,14 ; 25.139,04 ; 10.580,24 ; 12.902,42 
BOM JESUS DO ITABAPOANA; 885.916,66 ; 630.535,11 ; 461.870,89 ; 270.360,44 ; 137.984,11 ; 99.112,44 ; 79.902,94 ; 84.004,30 ; 63.504,03 ; 74.578,45 ; 41.751,06 ; 64.139,14 
CAMBUCI; 538.789,17 ; 316.824,64 ; 217.788,26 ; 128.568,21 ; 57.549,42 ; 41.439,10 ; 27.534,51 ; 45.414,90 ; 25.236,79 ; 35.519,74 ; 12.952,31 ; 24.588,29 
ITALVA; 539.109,54 ; 329.992,75 ; 250.604,14 ; 126.008,94 ; 64.039,28 ; 46.045,88 ; 28.537,58 ; 47.838,95 ; 37.367,12 ; 30.623,51 ; 13.479,51 ; 25.058,68 
ITAOCARA; 1.537.890,67 ; 837.888,50 ; 603.496,49 ; 325.108,09 ; 160.513,03 ; 130.542,38 ; 115.922,68 ; 128.653,53 ; 92.760,37 ; 87.912,54 ; 50.310,37 ; 60.085,47 
